priority	tier	lane	repo	folder	file	kind	line_count	fan_in	fan_out	total_degree	purpose	read_prompt	dossier_path
57	T0_IMPLEMENTATION_COMPLETE_READ	projection_build	neo4j-gds-src	graph-projection-api	graph-projection-api/src/main/java/org/neo4j/gds/PropertyMappings.java	source	197	46	4	50	Map how Neo4j-shaped inputs become projected graph topology, labels, relationship types, orientation, and properties.	Read this entire file as a Projection Build Store contract. Extract the input shape, normalized facts, dense-id/label/type/property semantics, defaults, aggregation/orientation behavior, and validation rules.	docs_PRD03/reference-learning/gds-v2-dossiers/057-projection_build-PropertyMappings.md
58	T0_IMPLEMENTATION_COMPLETE_READ	olap_algorithm	neo4j-gds-src	applications/algorithms	applications/algorithms/machinery/src/main/java/org/neo4j/gds/applications/algorithms/machinery/AlgorithmProcessingTemplateConvenience.java	source	238	37	13	50	Capture algorithm execution skeleton: config, estimation, execution modes, result/write/mutate/stream artifacts.	Read this entire file as an algorithm execution contract. Extract lifecycle stages, required graph views, algorithm state, result artifacts, memory estimation hooks, mutate/write/stream/stats behavior, and verification cases.	docs_PRD03/reference-learning/gds-v2-dossiers/058-olap_algorithm-AlgorithmProcessingTemplateConvenience.md
59	T0_IMPLEMENTATION_COMPLETE_READ	catalog_lifecycle	neo4j-gds-src	core	core/src/main/java/org/neo4j/gds/core/loading/GraphStoreCatalogService.java	source	228	33	17	50	Map graph identity, lifecycle, catalog scoping, snapshot ownership, and artifact state.	Read this entire file as a catalog/snapshot lifecycle contract. Extract identities, ownership boundaries, lifecycle transitions, concurrency assumptions, error cases, and what a Rust implementation must persist or reject.	docs_PRD03/reference-learning/gds-v2-dossiers/059-catalog_lifecycle-GraphStoreCatalogService.md
60	T0_IMPLEMENTATION_COMPLETE_READ	catalog_lifecycle	neo4j-gds-src	core	core/src/main/java/org/neo4j/gds/core/loading/CSRGraphStore.java	source	755	10	40	50	Map graph identity, lifecycle, catalog scoping, snapshot ownership, and artifact state.	Read this entire file as a catalog/snapshot lifecycle contract. Extract identities, ownership boundaries, lifecycle transitions, concurrency assumptions, error cases, and what a Rust implementation must persist or reject.	docs_PRD03/reference-learning/gds-v2-dossiers/060-catalog_lifecycle-CSRGraphStore.md
61	T1_IMPLEMENTATION_COMPLETE_READ	projection_build	neo4j-gds-src	graph-projection-api	graph-projection-api/src/main/java/org/neo4j/gds/ElementProjection.java	source	166	44	5	49	Map how Neo4j-shaped inputs become projected graph topology, labels, relationship types, orientation, and properties.	Read this entire file as a Projection Build Store contract. Extract the input shape, normalized facts, dense-id/label/type/property semantics, defaults, aggregation/orientation behavior, and validation rules.	docs_PRD03/reference-learning/gds-v2-dossiers/061-projection_build-ElementProjection.md
62	T1_IMPLEMENTATION_COMPLETE_READ	procedure_surface	neo4j-gds-src	procedures/algorithms-facade	procedures/algorithms-facade/src/main/java/org/neo4j/gds/procedures/algorithms/similarity/LocalSimilarityProcedureFacade.java	source	523	1	48	49	Capture procedure ABI: names, modes, columns, config parsing, errors, and unsupported behavior.	Read this entire file as a public GDS procedure surface contract. Extract procedure names, modes, columns, config parsing, result shapes, side effects, errors, unsupported cases, and verification fixtures.	docs_PRD03/reference-learning/gds-v2-dossiers/062-procedure_surface-LocalSimilarityProcedureFacade.md
64	T1_IMPLEMENTATION_COMPLETE_READ	write_import_export	neo4j-gds-src	config-api	config-api/src/main/java/org/neo4j/gds/config/WritePropertyConfig.java	source	39	44	4	48	Identify side effects that must remain outside immutable OLAP reads: writes, mutate, export, and database effects.	Read this entire file as a side-effect boundary. Extract what gets written or exported, when it is allowed, how it interacts with catalog/projection state, and what must never happen during immutable OLAP reads.	docs_PRD03/reference-learning/gds-v2-dossiers/064-write_import_export-WritePropertyConfig.md
65	T1_IMPLEMENTATION_COMPLETE_READ	olap_algorithm	neo4j-gds-src	applications/algorithms	applications/algorithms/machinery/src/main/java/org/neo4j/gds/applications/algorithms/machinery/MutateNodeProperty.java	source	82	40	8	48	Capture algorithm execution skeleton: config, estimation, execution modes, result/write/mutate/stream artifacts.	Read this entire file as an algorithm execution contract. Extract lifecycle stages, required graph views, algorithm state, result artifacts, memory estimation hooks, mutate/write/stream/stats behavior, and verification cases.	docs_PRD03/reference-learning/gds-v2-dossiers/065-olap_algorithm-MutateNodeProperty.md
66	T1_IMPLEMENTATION_COMPLETE_READ	olap_algorithm	neo4j-gds-src	algo	algo/src/main/java/org/neo4j/gds/embeddings/graphsage/GraphSageModelTrainer.java	source	405	19	29	48	Capture algorithm execution skeleton: config, estimation, execution modes, result/write/mutate/stream artifacts.	Read this entire file as an algorithm execution contract. Extract lifecycle stages, required graph views, algorithm state, result artifacts, memory estimation hooks, mutate/write/stream/stats behavior, and verification cases.	docs_PRD03/reference-learning/gds-v2-dossiers/066-olap_algorithm-GraphSageModelTrainer.md
67	T1_IMPLEMENTATION_COMPLETE_READ	procedure_surface	neo4j-gds-src	procedures/algorithms-facade	procedures/algorithms-facade/src/main/java/org/neo4j/gds/procedures/algorithms/embeddings/LocalNodeEmbeddingsProcedureFacade.java	source	426	1	47	48	Capture procedure ABI: names, modes, columns, config parsing, errors, and unsupported behavior.	Read this entire file as a public GDS procedure surface contract. Extract procedure names, modes, columns, config parsing, result shapes, side effects, errors, unsupported cases, and verification fixtures.	docs_PRD03/reference-learning/gds-v2-dossiers/067-procedure_surface-LocalNodeEmbeddingsProcedureFacade.md
68	T1_IMPLEMENTATION_COMPLETE_READ	memory_estimator	neo4j-gds-src	applications/algorithms	applications/algorithms/path-finding/src/main/java/org/neo4j/gds/applications/algorithms/pathfinding/PathFindingAlgorithmsEstimationModeBusinessFacade.java	source	257	17	30	47	Extract explicit memory-accounting vocabulary, estimator composition, ranges, and reject-before-run contracts.	Read this entire file as a strict RAM contract. Extract every memory term, range, estimator composition rule, unit, high-water state, rejection condition, and testable invariant.	docs_PRD03/reference-learning/gds-v2-dossiers/068-memory_estimator-PathFindingAlgorithmsEstimationModeBusinessFacade.md
69	T1_IMPLEMENTATION_COMPLETE_READ	olap_algorithm	neo4j-gds-src	applications/algorithms	applications/algorithms/centrality/src/main/java/org/neo4j/gds/applications/algorithms/centrality/CentralityAlgorithmsMutateModeBusinessFacade.java	source	288	9	38	47	Capture algorithm execution skeleton: config, estimation, execution modes, result/write/mutate/stream artifacts.	Read this entire file as an algorithm execution contract. Extract lifecycle stages, required graph views, algorithm state, result artifacts, memory estimation hooks, mutate/write/stream/stats behavior, and verification cases.	docs_PRD03/reference-learning/gds-v2-dossiers/069-olap_algorithm-CentralityAlgorithmsMutateModeBusinessFacade.md
70	T1_IMPLEMENTATION_COMPLETE_READ	write_import_export	neo4j-gds-src	applications/algorithms	applications/algorithms/machinery/src/main/java/org/neo4j/gds/applications/algorithms/machinery/WriteStep.java	source	40	42	4	46	Identify side effects that must remain outside immutable OLAP reads: writes, mutate, export, and database effects.	Read this entire file as a side-effect boundary. Extract what gets written or exported, when it is allowed, how it interacts with catalog/projection state, and what must never happen during immutable OLAP reads.	docs_PRD03/reference-learning/gds-v2-dossiers/070-write_import_export-WriteStep.md
71	T1_IMPLEMENTATION_COMPLETE_READ	procedure_surface	neo4j-gds-src	proc/common	proc/common/src/main/java/org/neo4j/gds/NullComputationResultConsumer.java	source	38	41	5	46	Capture procedure ABI: names, modes, columns, config parsing, errors, and unsupported behavior.	Read this entire file as a public GDS procedure surface contract. Extract procedure names, modes, columns, config parsing, result shapes, side effects, errors, unsupported cases, and verification fixtures.	docs_PRD03/reference-learning/gds-v2-dossiers/071-procedure_surface-NullComputationResultConsumer.md
72	T1_IMPLEMENTATION_COMPLETE_READ	olap_algorithm	neo4j-gds-src	applications/algorithms	applications/algorithms/node-embeddings/src/main/java/org/neo4j/gds/applications/algorithms/embeddings/NodeEmbeddingAlgorithms.java	source	273	9	37	46	Capture algorithm execution skeleton: config, estimation, execution modes, result/write/mutate/stream artifacts.	Read this entire file as an algorithm execution contract. Extract lifecycle stages, required graph views, algorithm state, result artifacts, memory estimation hooks, mutate/write/stream/stats behavior, and verification cases.	docs_PRD03/reference-learning/gds-v2-dossiers/072-olap_algorithm-NodeEmbeddingAlgorithms.md
73	T1_IMPLEMENTATION_COMPLETE_READ	procedure_surface	neo4j-gds-src	procedures/facade	procedures/facade/src/main/java/org/neo4j/gds/procedures/LocalGraphDataScienceProcedures.java	source	285	4	42	46	Capture procedure ABI: names, modes, columns, config parsing, errors, and unsupported behavior.	Read this entire file as a public GDS procedure surface contract. Extract procedure names, modes, columns, config parsing, result shapes, side effects, errors, unsupported cases, and verification fixtures.	docs_PRD03/reference-learning/gds-v2-dossiers/073-procedure_surface-LocalGraphDataScienceProcedures.md
75	T1_IMPLEMENTATION_COMPLETE_READ	olap_algorithm	neo4j-gds-src	applications/algorithms	applications/algorithms/machinery/src/main/java/org/neo4j/gds/applications/algorithms/machinery/StatsResultBuilder.java	source	38	43	2	45	Capture algorithm execution skeleton: config, estimation, execution modes, result/write/mutate/stream artifacts.	Read this entire file as an algorithm execution contract. Extract lifecycle stages, required graph views, algorithm state, result artifacts, memory estimation hooks, mutate/write/stream/stats behavior, and verification cases.	docs_PRD03/reference-learning/gds-v2-dossiers/075-olap_algorithm-StatsResultBuilder.md
76	T1_IMPLEMENTATION_COMPLETE_READ	olap_algorithm	neo4j-gds-src	applications/algorithms	applications/algorithms/path-finding/src/main/java/org/neo4j/gds/applications/algorithms/pathfinding/PathFindingAlgorithmsMutateModeBusinessFacade.java	source	281	12	33	45	Capture algorithm execution skeleton: config, estimation, execution modes, result/write/mutate/stream artifacts.	Read this entire file as an algorithm execution contract. Extract lifecycle stages, required graph views, algorithm state, result artifacts, memory estimation hooks, mutate/write/stream/stats behavior, and verification cases.	docs_PRD03/reference-learning/gds-v2-dossiers/076-olap_algorithm-PathFindingAlgorithmsMutateModeBusinessFacade.md
77	T1_IMPLEMENTATION_COMPLETE_READ	catalog_lifecycle	neo4j-gds-src	pipeline	pipeline/src/main/java/org/neo4j/gds/ml/pipeline/PipelineCatalog.java	source	142	39	5	44	Map graph identity, lifecycle, catalog scoping, snapshot ownership, and artifact state.	Read this entire file as a catalog/snapshot lifecycle contract. Extract identities, ownership boundaries, lifecycle transitions, concurrency assumptions, error cases, and what a Rust implementation must persist or reject.	docs_PRD03/reference-learning/gds-v2-dossiers/077-catalog_lifecycle-PipelineCatalog.md
78	T1_IMPLEMENTATION_COMPLETE_READ	procedure_surface	neo4j-gds-src	pregel	pregel/src/main/java/org/neo4j/gds/beta/pregel/PregelProcedureConfig.java	source	72	36	8	44	Capture procedure ABI: names, modes, columns, config parsing, errors, and unsupported behavior.	Read this entire file as a public GDS procedure surface contract. Extract procedure names, modes, columns, config parsing, result shapes, side effects, errors, unsupported cases, and verification fixtures.	docs_PRD03/reference-learning/gds-v2-dossiers/078-procedure_surface-PregelProcedureConfig.md
79	T1_IMPLEMENTATION_COMPLETE_READ	write_import_export	neo4j-gds-src	applications/algorithms	applications/algorithms/machinery/src/main/java/org/neo4j/gds/applications/algorithms/machinery/WriteToDatabase.java	source	96	30	13	43	Identify side effects that must remain outside immutable OLAP reads: writes, mutate, export, and database effects.	Read this entire file as a side-effect boundary. Extract what gets written or exported, when it is allowed, how it interacts with catalog/projection state, and what must never happen during immutable OLAP reads.	docs_PRD03/reference-learning/gds-v2-dossiers/079-write_import_export-WriteToDatabase.md
80	T1_IMPLEMENTATION_COMPLETE_READ	olap_algorithm	neo4j-gds-src	algo	algo/src/main/java/org/neo4j/gds/algorithms/community/CommunityCompanion.java	source	213	29	14	43	Capture algorithm execution skeleton: config, estimation, execution modes, result/write/mutate/stream artifacts.	Read this entire file as an algorithm execution contract. Extract lifecycle stages, required graph views, algorithm state, result artifacts, memory estimation hooks, mutate/write/stream/stats behavior, and verification cases.	docs_PRD03/reference-learning/gds-v2-dossiers/080-olap_algorithm-CommunityCompanion.md
81	T1_IMPLEMENTATION_COMPLETE_READ	memory_estimator	neo4j-gds-src	memory-usage	memory-usage/src/main/java/org/neo4j/gds/mem/BitUtil.java	source	114	42	0	42	Extract explicit memory-accounting vocabulary, estimator composition, ranges, and reject-before-run contracts.	Read this entire file as a strict RAM contract. Extract every memory term, range, estimator composition rule, unit, high-water state, rejection condition, and testable invariant.	docs_PRD03/reference-learning/gds-v2-dossiers/081-memory_estimator-BitUtil.md
83	T1_IMPLEMENTATION_COMPLETE_READ	procedure_surface	neo4j-gds-src	procedures/facade-api	procedures/facade-api/configs/node-embeddings-configs/src/main/java/org/neo4j/gds/embeddings/graphsage/algo/GraphSageTrainConfig.java	source	166	27	15	42	Capture procedure ABI: names, modes, columns, config parsing, errors, and unsupported behavior.	Read this entire file as a public GDS procedure surface contract. Extract procedure names, modes, columns, config parsing, result shapes, side effects, errors, unsupported cases, and verification fixtures.	docs_PRD03/reference-learning/gds-v2-dossiers/083-procedure_surface-GraphSageTrainConfig.md
86	T1_IMPLEMENTATION_COMPLETE_READ	projection_build	neo4j-gds-src	native-projection	native-projection/src/main/java/org/neo4j/gds/projection/GraphProjectFromStoreConfig.java	source	199	32	9	41	Map how Neo4j-shaped inputs become projected graph topology, labels, relationship types, orientation, and properties.	Read this entire file as a Projection Build Store contract. Extract the input shape, normalized facts, dense-id/label/type/property semantics, defaults, aggregation/orientation behavior, and validation rules.	docs_PRD03/reference-learning/gds-v2-dossiers/086-projection_build-GraphProjectFromStoreConfig.md
87	T1_IMPLEMENTATION_COMPLETE_READ	catalog_lifecycle	neo4j-gds-src	applications/graph-store-catalog	applications/graph-store-catalog/src/main/java/org/neo4j/gds/applications/graphstorecatalog/GraphCatalogApplications.java	source	296	9	31	40	Map graph identity, lifecycle, catalog scoping, snapshot ownership, and artifact state.	Read this entire file as a catalog/snapshot lifecycle contract. Extract identities, ownership boundaries, lifecycle transitions, concurrency assumptions, error cases, and what a Rust implementation must persist or reject.	docs_PRD03/reference-learning/gds-v2-dossiers/087-catalog_lifecycle-GraphCatalogApplications.md
88	T1_IMPLEMENTATION_COMPLETE_READ	olap_algorithm	neo4j-gds-src	applications/algorithms	applications/algorithms/community/src/main/java/org/neo4j/gds/applications/algorithms/community/CommunityAlgorithmsStreamModeBusinessFacade.java	source	331	2	38	40	Capture algorithm execution skeleton: config, estimation, execution modes, result/write/mutate/stream artifacts.	Read this entire file as an algorithm execution contract. Extract lifecycle stages, required graph views, algorithm state, result artifacts, memory estimation hooks, mutate/write/stream/stats behavior, and verification cases.	docs_PRD03/reference-learning/gds-v2-dossiers/088-olap_algorithm-CommunityAlgorithmsStreamModeBusinessFacade.md
89	T1_IMPLEMENTATION_COMPLETE_READ	olap_algorithm	neo4j-gds-src	algo	algo/src/main/java/org/neo4j/gds/embeddings/graphsage/GraphSageHelper.java	source	338	10	29	39	Capture algorithm execution skeleton: config, estimation, execution modes, result/write/mutate/stream artifacts.	Read this entire file as an algorithm execution contract. Extract lifecycle stages, required graph views, algorithm state, result artifacts, memory estimation hooks, mutate/write/stream/stats behavior, and verification cases.	docs_PRD03/reference-learning/gds-v2-dossiers/089-olap_algorithm-GraphSageHelper.md
1001	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	proc/community	proc/community/src/integrationTest/java/org/neo4j/gds/wcc/WccMutateProcTest.java	test	642	0	57	57	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: core-api/src/main/java/org/neo4j/gds/api/GraphStore.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `core-api/src/main/java/org/neo4j/gds/api/GraphStore.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V001-verification-oracle-WccMutateProcTest.md
1002	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	proc/community	proc/community/src/integrationTest/java/org/neo4j/gds/modularityoptimization/ModularityOptimizationMutateProcTest.java	test	570	0	55	55	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: core-api/src/main/java/org/neo4j/gds/api/GraphStore.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `core-api/src/main/java/org/neo4j/gds/api/GraphStore.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V002-verification-oracle-ModularityOptimizationMutateProcTest.md
1003	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	proc/community	proc/community/src/integrationTest/java/org/neo4j/gds/labelpropagation/LabelPropagationMutateProcTest.java	test	558	0	55	55	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: core-api/src/main/java/org/neo4j/gds/api/GraphStore.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `core-api/src/main/java/org/neo4j/gds/api/GraphStore.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V003-verification-oracle-LabelPropagationMutateProcTest.md
1004	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	proc/machine-learning	proc/machine-learning/src/test/java/org/neo4j/gds/ml/pipeline/node/classification/predict/NodeClassificationPredictPipelineExecutorTest.java	test	551	0	49	49	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: core-api/src/main/java/org/neo4j/gds/api/GraphStore.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `core-api/src/main/java/org/neo4j/gds/api/GraphStore.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V004-verification-oracle-NodeClassificationPredictPipelineExecutorTest.md
1005	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	pipeline	pipeline/src/test/java/org/neo4j/gds/ml/pipeline/linkPipeline/train/LinkPredictionTrainPipelineExecutorTest.java	test	883	0	48	48	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: core-api/src/main/java/org/neo4j/gds/api/GraphStore.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `core-api/src/main/java/org/neo4j/gds/api/GraphStore.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V005-verification-oracle-LinkPredictionTrainPipelineExecutorTest.md
1006	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	proc/pregel	proc/pregel/src/test/java/org/neo4j/gds/pregel/proc/PregelProcTest.java	test	497	0	46	46	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: memory-usage/src/main/java/org/neo4j/gds/mem/MemoryEstimation.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `memory-usage/src/main/java/org/neo4j/gds/mem/MemoryEstimation.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V006-verification-oracle-PregelProcTest.md
1007	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	procedures/pipelines-facade	procedures/pipelines-facade/src/test/java/org/neo4j/gds/procedures/pipelines/LinkPredictionPredictPipelineExecutorTest.java	test	648	0	42	42	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: core-api/src/main/java/org/neo4j/gds/api/GraphStore.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `core-api/src/main/java/org/neo4j/gds/api/GraphStore.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V007-verification-oracle-LinkPredictionPredictPipelineExecutorTest.md
1008	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	proc/common	proc/common/src/test/java/org/neo4j/gds/WriteNodePropertiesComputationResultConsumerTest.java	test	232	0	42	42	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: core-api/src/main/java/org/neo4j/gds/api/GraphStore.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `core-api/src/main/java/org/neo4j/gds/api/GraphStore.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V008-verification-oracle-WriteNodePropertiesComputationResultConsumerTest.md
1009	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	pregel	pregel/src/test/java/org/neo4j/gds/beta/pregel/PregelTest.java	test	933	0	39	39	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: graph-projection-api/src/main/java/org/neo4j/gds/api/nodeproperties/ValueType.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `graph-projection-api/src/main/java/org/neo4j/gds/api/nodeproperties/ValueType.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V009-verification-oracle-PregelTest.md
1010	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	algo	algo/src/test/java/org/neo4j/gds/embeddings/graphsage/GraphSageTest.java	test	326	0	39	39	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: core-api/src/main/java/org/neo4j/gds/api/GraphStore.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `core-api/src/main/java/org/neo4j/gds/api/GraphStore.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V010-verification-oracle-GraphSageTest.md
1011	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	pipeline	pipeline/src/test/java/org/neo4j/gds/ml/pipeline/linkPipeline/train/LinkPredictionTrainTest.java	test	924	0	35	35	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: memory-usage/src/main/java/org/neo4j/gds/mem/MemoryRange.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `memory-usage/src/main/java/org/neo4j/gds/mem/MemoryRange.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V011-verification-oracle-LinkPredictionTrainTest.md
1012	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	algo	algo/src/test/java/org/neo4j/gds/embeddings/fastrp/FastRPTest.java	test	831	0	35	35	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: graph-projection-api/src/main/java/org/neo4j/gds/RelationshipType.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `graph-projection-api/src/main/java/org/neo4j/gds/RelationshipType.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V012-verification-oracle-FastRPTest.md
1013	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	io/csv	io/csv/src/test/java/org/neo4j/gds/core/io/file/csv/GraphStoreToCsvExporterTest.java	test	814	0	34	34	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: graph-projection-api/src/main/java/org/neo4j/gds/RelationshipType.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `graph-projection-api/src/main/java/org/neo4j/gds/RelationshipType.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V013-verification-oracle-GraphStoreToCsvExporterTest.md
1014	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	pipeline	pipeline/src/test/java/org/neo4j/gds/ml/pipeline/linkPipeline/LinkPredictionTrainingPipelineTest.java	test	492	0	33	33	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: memory-usage/src/main/java/org/neo4j/gds/mem/MemoryEstimation.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `memory-usage/src/main/java/org/neo4j/gds/mem/MemoryEstimation.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V014-verification-oracle-LinkPredictionTrainingPipelineTest.md
1015	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	algo	algo/src/test/java/org/neo4j/gds/embeddings/hashgnn/HashGNNTest.java	test	406	0	33	33	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: graph-projection-api/src/main/java/org/neo4j/gds/RelationshipType.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `graph-projection-api/src/main/java/org/neo4j/gds/RelationshipType.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V015-verification-oracle-HashGNNTest.md
1016	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	algo	algo/src/test/java/org/neo4j/gds/modularityoptimization/ModularityOptimizationWithoutOrientationTest.java	test	303	0	33	33	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: memory-usage/src/main/java/org/neo4j/gds/mem/MemoryEstimations.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `memory-usage/src/main/java/org/neo4j/gds/mem/MemoryEstimations.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V016-verification-oracle-ModularityOptimizationWithoutOrientationTest.md
1017	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	algo	algo/src/test/java/org/neo4j/gds/embeddings/graphsage/algo/GraphSageAlgorithmFactoryTest.java	test	569	0	30	30	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: memory-usage/src/main/java/org/neo4j/gds/mem/MemoryEstimations.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `memory-usage/src/main/java/org/neo4j/gds/mem/MemoryEstimations.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V017-verification-oracle-GraphSageAlgorithmFactoryTest.md
1018	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	pipeline	pipeline/src/test/java/org/neo4j/gds/ml/pipeline/PipelineExecutorTest.java	test	328	0	30	30	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: config-api/src/main/java/org/neo4j/gds/config/AlgoBaseConfig.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `config-api/src/main/java/org/neo4j/gds/config/AlgoBaseConfig.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V018-verification-oracle-PipelineExecutorTest.md
1019	T2_VERIFICATION_ORACLE_COMPLETE_READ	verification_oracle	neo4j-gds-src	procedures/graph-catalog-facade	procedures/graph-catalog-facade/src/test/java/org/neo4j/gds/procedures/catalog/GraphCatalogProcedureFacadeTest.java	test	477	0	29	29	Turn existing tests/docs into executable compatibility checks for the Rust rewrite. Seed file: graph-projection-api/src/main/java/org/neo4j/gds/api/nodeproperties/ValueType.java	Read this entire test/doc file as a verification oracle. Extract the behavior being asserted, fixture graph shape, procedure call, expected output/error, and the Rust executable spec it should become. Anchor it to seed file `graph-projection-api/src/main/java/org/neo4j/gds/api/nodeproperties/ValueType.java`.	docs_PRD03/reference-learning/gds-v2-dossiers/V019-verification-oracle-GraphCatalogProcedureFacadeTest.md
