canonical_hint	raw_name	path	line_start	line_end	context_kind	evidence_id
rrf-fusion	RRF hybrid fusion	docs_PRD06/graph-learning/full-text-search-pattern-synthesis-mermaid.md	59	66	algorithm	A08-O0229
semiring-traversal	SpMV over semirings	docs_PRD06/graph-learning/graph-analytics-pattern-synthesis-mermaid.md	9	16	algorithm_family	A08-O0230
direction-optimizing-bfs	push/pull frontiers	docs_PRD06/graph-learning/graph-analytics-pattern-synthesis-mermaid.md	19	30	algorithm	A08-O0231
pagerank	PageRank	docs_PRD06/graph-learning/graph-analytics-pattern-synthesis-mermaid.md	19	30	algorithm	A08-O0232
connected-components	hook and shortcut WCC	docs_PRD06/graph-learning/graph-analytics-pattern-synthesis-mermaid.md	19	30	algorithm_family	A08-O0233
delta-stepping	delta buckets SSSP	docs_PRD06/graph-learning/graph-analytics-pattern-synthesis-mermaid.md	19	30	algorithm	A08-O0234
afforest	Afforest	docs_PRD06/graph-learning/graph-analytics-pattern-synthesis-mermaid.md	75	84	algorithm	A08-O0235
hnsw-search	HNSW best-first frontier	docs_PRD06/graph-learning/graph-analytics-pattern-synthesis-mermaid.md	87	94	algorithm	A08-O0236
louvain	Louvain	docs_PRD06/graph-learning/graph-analytics-pattern-synthesis-mermaid.md	107	114	algorithm	A08-O0237
leiden	Leiden	docs_PRD06/graph-learning/graph-analytics-pattern-synthesis-mermaid.md	107	114	algorithm	A08-O0238
k-core	k-core peeling	docs_PRD06/graph-learning/graph-analytics-pattern-synthesis-mermaid.md	107	114	algorithm	A08-O0239
hnsw-search	HNSW layered greedy search	docs_PRD06/graph-learning/hnsw-layered-greedy-ascii.md	1	15	algorithm	A08-O0240
hnsw-search	greedy descent plus ef beam	docs_PRD06/graph-learning/hnsw-layered-greedy-ascii.md	17	32	algorithm	A08-O0241
hnsw-search	geometric levels and M/ef knobs	docs_PRD06/graph-learning/hnsw-layered-greedy-ascii.md	34	56	algorithm	A08-O0242
hnsw-search	layer-0 beam search	docs_PRD06/graph-learning/hnsw-layered-greedy-ascii.md	58	78	algorithm	A08-O0243
hnsw-neighbor-selection	diverse neighbor heuristic	docs_PRD06/graph-learning/hnsw-layered-greedy-ascii.md	80	97	algorithm	A08-O0244
product-quantization	PQ	docs_PRD06/graph-learning/hnsw-layered-greedy-ascii.md	99	112	storage_algorithm	A08-O0245
scalar-quantization	SQ	docs_PRD06/graph-learning/hnsw-layered-greedy-ascii.md	99	112	storage_algorithm	A08-O0246
vamana-ann	DiskANN	docs_PRD06/graph-learning/hnsw-layered-greedy-ascii.md	99	112	algorithm_family	A08-O0247
hnsw-search	ef recall dial	docs_PRD06/graph-learning/hnsw-layered-greedy-ascii.md	114	126	algorithm	A08-O0248
acorn-filtered-search	ACORN	docs_PRD06/graph-learning/hnsw-layered-greedy-ascii.md	129	147	algorithm_family	A08-O0249
incremental-delta-iteration	Differential dataflow signed updates	docs_PRD06/graph-learning/incremental-delta-iteration-ascii.md	1	16	algorithm_family	A08-O0250
trace-arrangement	arranged update traces	docs_PRD06/graph-learning/incremental-delta-iteration-ascii.md	18	32	supporting_structure	A08-O0251
antichain-progress	antichain frontiers	docs_PRD06/graph-learning/incremental-delta-iteration-ascii.md	34	50	protocol	A08-O0252
semi-naive-iteration	semi-naive iteration	docs_PRD06/graph-learning/incremental-delta-iteration-ascii.md	53	65	algorithm_family	A08-O0253
incremental-bfs	incremental BFS	docs_PRD06/graph-learning/incremental-delta-iteration-ascii.md	68	82	algorithm	A08-O0254
incremental-bfs	edge insertion delta propagation	docs_PRD06/graph-learning/incremental-delta-iteration-ascii.md	85	97	algorithm	A08-O0255
trace-compaction	frontier-gated trace compaction	docs_PRD06/graph-learning/incremental-delta-iteration-ascii.md	100	112	storage_algorithm	A08-O0256
incremental-vs-scratch	incremental vs from-scratch	docs_PRD06/graph-learning/incremental-delta-iteration-ascii.md	138	151	verification_method	A08-O0257
metamorphic-testing	metamorphic self-oracles	docs_PRD06/graph-learning/metamorphic-oracle-testing-ascii.md	1	20	verification_method	A08-O0258
history-checking	history-based checking	docs_PRD06/graph-learning/metamorphic-oracle-testing-ascii.md	9	20	verification_method	A08-O0259
tlp-testing	TLP ternary logic partitioning	docs_PRD06/graph-learning/metamorphic-oracle-testing-ascii.md	22	39	verification_method	A08-O0260
norec-testing	NoREC	docs_PRD06/graph-learning/metamorphic-oracle-testing-ascii.md	42	56	verification_method	A08-O0261
linearizability-checking	Jepsen linearizability checker	docs_PRD06/graph-learning/metamorphic-oracle-testing-ascii.md	59	75	verification_method	A08-O0262
knossos-search	Knossos WGL search	docs_PRD06/graph-learning/metamorphic-oracle-testing-ascii.md	59	75	verification_method	A08-O0263
tlp-testing	TLP worked example	docs_PRD06/graph-learning/metamorphic-oracle-testing-ascii.md	78	93	verification_method	A08-O0264
knossos-search	non-linearizable history search	docs_PRD06/graph-learning/metamorphic-oracle-testing-ascii.md	96	107	verification_method	A08-O0265
reproducer-reduction	automated reproducer reduction	docs_PRD06/graph-learning/metamorphic-oracle-testing-ascii.md	121	135	verification_method	A08-O0266
mvcc-snapshot	MVCC snapshot visibility	docs_PRD06/graph-learning/mvcc-snapshot-visibility-ascii.md	1	16	protocol	A08-O0267
mvcc-snapshot	key plus version ordering	docs_PRD06/graph-learning/mvcc-snapshot-visibility-ascii.md	24	41	storage_algorithm	A08-O0268
mvcc-snapshot	snapshot active-set visibility rule	docs_PRD06/graph-learning/mvcc-snapshot-visibility-ascii.md	43	63	protocol	A08-O0269
ssi-conflict-check	SSI-style conflict check	docs_PRD06/graph-learning/mvcc-snapshot-visibility-ascii.md	65	85	protocol	A08-O0270
mvcc-gc	oldest-read watermark GC	docs_PRD06/graph-learning/mvcc-snapshot-visibility-ascii.md	65	85	storage_algorithm	A08-O0271
aries-recovery	ARIES	docs_PRD06/graph-learning/mvcc-snapshot-visibility-ascii.md	154	160	storage_algorithm	A08-O0272
packstream-encoding	PackStream marker dispatch	docs_PRD06/graph-learning/packstream-wire-encoding-mermaid.md	1	20	protocol	A08-O0273
smallest-width-encoding	smallest integer encoding	docs_PRD06/graph-learning/packstream-wire-encoding-mermaid.md	22	33	storage_algorithm	A08-O0274
bolt-protocol	Bolt session protocol	docs_PRD06/graph-learning/packstream-wire-encoding-mermaid.md	45	60	protocol	A08-O0275
byte-differential	PackStream byte diff	docs_PRD06/graph-learning/packstream-wire-encoding-mermaid.md	92	100	verification_method	A08-O0276
pagerank	PageRank power iteration	docs_PRD06/graph-learning/pagerank-iteration-convergence-mermaid.md	1	18	algorithm	A08-O0277
fixed-point-message-passing	label propagation Katz HITS belief propagation GNN	docs_PRD06/graph-learning/pagerank-iteration-convergence-mermaid.md	21	23	algorithm_family	A08-O0278
pagerank-delta	PageRankDelta	docs_PRD06/graph-learning/pagerank-iteration-convergence-mermaid.md	25	30	algorithm	A08-O0279
pagerank	sink handling policies	docs_PRD06/graph-learning/pagerank-iteration-convergence-mermaid.md	33	42	algorithm	A08-O0280
pagerank	power-iteration cost	docs_PRD06/graph-learning/pagerank-iteration-convergence-mermaid.md	64	70	algorithm	A08-O0281
pagerank	rank epsilon equivalence	docs_PRD06/graph-learning/pagerank-iteration-convergence-mermaid.md	84	90	verification_method	A08-O0282
label-propagation	label propagation	docs_PRD06/graph-learning/pagerank-iteration-convergence-mermaid.md	93	101	algorithm	A08-O0283
katz-centrality	Katz centrality	docs_PRD06/graph-learning/pagerank-iteration-convergence-mermaid.md	93	101	algorithm	A08-O0284
gnn-message-passing	GNN layer	docs_PRD06/graph-learning/pagerank-iteration-convergence-mermaid.md	93	101	algorithm_family	A08-O0285
lsm-compaction	LSM compaction tradeoff	docs_PRD06/graph-learning/pattern-index.md	8	8	storage_algorithm	A08-O0286
wal-group-commit	WAL group commit	docs_PRD06/graph-learning/pattern-index.md	9	9	storage_algorithm	A08-O0287
roaring-idsets	Roaring bitmap ID sets	docs_PRD06/graph-learning/pattern-index.md	10	10	storage_algorithm	A08-O0288
mvcc-snapshot	MVCC snapshot visibility	docs_PRD06/graph-learning/pattern-index.md	11	11	protocol	A08-O0289
cow-tree-snapshot	COW tree snapshot	docs_PRD06/graph-learning/pattern-index.md	12	12	storage_algorithm	A08-O0290
bloom-filter	Bloom filter shortcut	docs_PRD06/graph-learning/pattern-index.md	13	13	storage_algorithm	A08-O0291
csr-adjacency	CSR adjacency layout	docs_PRD06/graph-learning/pattern-index.md	14	14	supporting_structure	A08-O0292
frontier-push-pull	Frontier push/pull switching	docs_PRD06/graph-learning/pattern-index.md	15	15	algorithm_family	A08-O0293
semiring-traversal	Semiring matrix traversal	docs_PRD06/graph-learning/pattern-index.md	16	16	algorithm_family	A08-O0294
connected-components	Component hooking shortcutting	docs_PRD06/graph-learning/pattern-index.md	17	17	algorithm_family	A08-O0295
pagerank	PageRank iteration convergence	docs_PRD06/graph-learning/pattern-index.md	18	18	algorithm	A08-O0296
delta-stepping	Delta-stepping buckets	docs_PRD06/graph-learning/pattern-index.md	19	19	algorithm	A08-O0297
hnsw-search	HNSW layered greedy search	docs_PRD06/graph-learning/pattern-index.md	20	20	algorithm	A08-O0298
product-quantization	Product quantization ladder	docs_PRD06/graph-learning/pattern-index.md	21	21	storage_algorithm	A08-O0299
vamana-ann	DiskANN Vamana	docs_PRD06/graph-learning/pattern-index.md	22	22	algorithm_family	A08-O0300
ivf-probe	IVF partitioned probe	docs_PRD06/graph-learning/pattern-index.md	23	23	algorithm_family	A08-O0301
posting-compression	Posting block compression	docs_PRD06/graph-learning/pattern-index.md	25	25	storage_algorithm	A08-O0302
bm25-wand	BM25 plus WAND pruning	docs_PRD06/graph-learning/pattern-index.md	26	26	algorithm_family	A08-O0303
fst-dictionary	FST term dictionary	docs_PRD06/graph-learning/pattern-index.md	27	27	storage_algorithm	A08-O0304
record-chain-adjacency	Record chain adjacency	docs_PRD06/graph-learning/pattern-index.md	29	29	storage_algorithm	A08-O0305
pull-operator-pipeline	Pull operator pipeline	docs_PRD06/graph-learning/pattern-index.md	30	30	protocol	A08-O0306
triple-permutation-indexing	Triple permutation indexing	docs_PRD06/graph-learning/pattern-index.md	31	31	storage_algorithm	A08-O0307
packstream-encoding	PackStream wire encoding	docs_PRD06/graph-learning/pattern-index.md	33	33	protocol	A08-O0308
stub-script-conformance	Stub script conformance	docs_PRD06/graph-learning/pattern-index.md	34	34	verification_method	A08-O0309
incremental-delta-iteration	Incremental delta iteration	docs_PRD06/graph-learning/pattern-index.md	36	36	algorithm_family	A08-O0310
superstep-convergence	Superstep message convergence	docs_PRD06/graph-learning/pattern-index.md	37	37	protocol	A08-O0311
metamorphic-testing	Metamorphic oracle testing	docs_PRD06/graph-learning/pattern-index.md	39	39	verification_method	A08-O0312
tolerant-validation	Tolerant equivalence validation	docs_PRD06/graph-learning/pattern-index.md	40	40	verification_method	A08-O0313
posting-compression	delta bit-packed posting blocks	docs_PRD06/graph-learning/posting-block-compression-ascii.md	1	24	storage_algorithm	A08-O0314
posting-skips	two-level posting skips	docs_PRD06/graph-learning/posting-block-compression-ascii.md	49	71	storage_algorithm	A08-O0315
galloping-intersection	short-list driven intersection	docs_PRD06/graph-learning/posting-block-compression-ascii.md	73	84	algorithm	A08-O0316
posting-compression	block size arithmetic	docs_PRD06/graph-learning/posting-block-compression-ascii.md	92	114	storage_algorithm	A08-O0317
ivf-probe	IVF bucket kinship	docs_PRD06/graph-learning/posting-block-compression-ascii.md	117	131	algorithm_family	A08-O0318
posting-compression	delta bit-packed posting blocks	docs_PRD06/graph-learning/posting-block-compression-mermaid.md	1	27	storage_algorithm	A08-O0319
posting-skips	two-level posting skips	docs_PRD06/graph-learning/posting-block-compression-mermaid.md	30	55	storage_algorithm	A08-O0320
galloping-intersection	short-list driven intersection	docs_PRD06/graph-learning/posting-block-compression-mermaid.md	58	67	algorithm	A08-O0321
posting-compression	flush-time encoding and merge	docs_PRD06/graph-learning/posting-block-compression-mermaid.md	111	128	storage_algorithm	A08-O0322
record-chain-adjacency	fixed-record adjacency chains	docs_PRD06/graph-learning/record-chain-adjacency-mermaid.md	1	29	storage_algorithm	A08-O0323
packed-csr-maintenance	packed CSR slack and checkpoint	docs_PRD06/graph-learning/record-chain-adjacency-mermaid.md	31	41	storage_algorithm	A08-O0324
record-chain-adjacency	chain versus CSR traversal	docs_PRD06/graph-learning/record-chain-adjacency-mermaid.md	43	79	storage_algorithm	A08-O0325
kv-adjacency	KV adjacency posting lists	docs_PRD06/graph-learning/record-chain-adjacency-mermaid.md	81	90	storage_algorithm	A08-O0326
neighbor-set-equivalence	neighbor-set differential	docs_PRD06/graph-learning/record-chain-adjacency-mermaid.md	92	100	verification_method	A08-O0327
roaring-idsets	Roaring adaptive containers	docs_PRD06/graph-learning/roaring-bitmap-idsets-ascii.md	1	47	storage_algorithm	A08-O0328
roaring-add	Roaring add and container conversion	docs_PRD06/graph-learning/roaring-bitmap-idsets-ascii.md	49	64	storage_algorithm	A08-O0329
roaring-intersection	Roaring kind-pair intersection	docs_PRD06/graph-learning/roaring-bitmap-idsets-ascii.md	66	85	algorithm	A08-O0330
run-length-encoding	RUN encoding	docs_PRD06/graph-learning/roaring-bitmap-idsets-ascii.md	38	42	storage_algorithm	A08-O0331
roaring-idsets	Roaring adaptive containers	docs_PRD06/graph-learning/roaring-bitmap-idsets-mermaid.md	1	36	storage_algorithm	A08-O0332
roaring-add	Roaring add state machine	docs_PRD06/graph-learning/roaring-bitmap-idsets-mermaid.md	38	51	storage_algorithm	A08-O0333
roaring-intersection	Roaring kind-pair intersection	docs_PRD06/graph-learning/roaring-bitmap-idsets-mermaid.md	53	67	algorithm	A08-O0334
roaring-serialized-ops	serialized mmap set operations	docs_PRD06/graph-learning/roaring-bitmap-idsets-mermaid.md	117	136	storage_algorithm	A08-O0335
stub-script-conformance	testkit plus boltstub	docs_PRD06/graph-learning/stub-script-conformance-mermaid.md	1	20	verification_method	A08-O0336
script-language-membership	boltstub script DSL	docs_PRD06/graph-learning/stub-script-conformance-mermaid.md	33	42	verification_method	A08-O0337
dual-oracle-conformance	stub and real-server oracles	docs_PRD06/graph-learning/stub-script-conformance-mermaid.md	62	69	verification_method	A08-O0338
layered-conformance	byte script result history oracles	docs_PRD06/graph-learning/stub-script-conformance-mermaid.md	110	120	verification_method	A08-O0339
accepting-automaton	conversation accepting automaton	docs_PRD06/graph-learning/stub-script-conformance-mermaid.md	122	131	verification_method	A08-O0340
superstep-convergence	Pregel superstep convergence	docs_PRD06/graph-learning/superstep-message-convergence-ascii.md	1	16	protocol	A08-O0341
pregel-loop	GraphX Pregel loop	docs_PRD06/graph-learning/superstep-message-convergence-ascii.md	18	45	protocol	A08-O0342
vote-to-halt	Giraph voteToHalt	docs_PRD06/graph-learning/superstep-message-convergence-ascii.md	47	57	protocol	A08-O0343
vertex-cut-partitioning	EdgePartition2D vertex cut	docs_PRD06/graph-learning/superstep-message-convergence-ascii.md	60	75	algorithm_family	A08-O0344
min-label-propagation	Pregel connected components	docs_PRD06/graph-learning/superstep-message-convergence-ascii.md	90	104	algorithm	A08-O0345
periodic-checkpointing	PeriodicGraphCheckpointer	docs_PRD06/graph-learning/superstep-message-convergence-ascii.md	124	138	storage_algorithm	A08-O0346
